ad,dogum_yeri,dogum_tarihi,yas,ilkokul,ilkokul_yillari,lise,lise_yillari,universite,universite_yillari,bolum,yuksek_lisans,yuksek_lisans_yillari,doktora,doktora_yillari,calistigi_kurumlar,calisma_yillari,kurdugu_girisim_ve_dernekler,girisim_kurulus_yillari,yasadigi_sehir,hobiler,es,cocuklar,akademik_yayinlar,yayin_yillari,dosya_adi,ilkokul_yillari_baslangic,ilkokul_yillari_bitis,lise_yillari_baslangic,lise_yillari_bitis,universite_yillari_baslangic,universite_yillari_bitis,yuksek_lisans_yillari_baslangic,yuksek_lisans_yillari_bitis,doktora_yillari_baslangic,doktora_yillari_bitis,calisma_yillari_baslangic,calisma_yillari_bitis
Hakan Şimşek,Sivas,15.08.1983,42,Sivas Merkez Cumhuriyet İlkokulu,1990-1997,Sivas Fen Lisesi,1997-2001,Orta Doğu Teknik Üniversitesi (ODTÜ),2001-2005,Şehir ve Bölge Planlama,İstanbul Teknik Üniversitesi (İTÜ),2006-2008,,None,"['Çevre ve Şehircilik Bakanlığı, Kentsel Dönüşüm Genel Müdürlüğü', 'Kentsel Vizyon Danışmanlık A.Ş.', 'Dönüşüm Mimarı - Bağımsız Danışmanlık Ofisi']","['2008-2015', '2015-2022', '2022-devam ediyor']",['Dönüşüm Mimarı'],['2022'],İstanbul,"['amatör fotoğrafçılık', 'maraton koşusu', 'doğa yürüyüşü', 'Klasik Türk Sanat Müziği dinlemek', 'yerel el sanatları sergilerini ziyaret etmek']",Elif Şimşek,"['Defne', 'Can']","[""Türkiye'de Kentsel Dönüşümde Sosyal Katılım Mekanizmaları ve Engelleri"", 'Kentsel Dirençlilik ve Afet Risk Yönetiminde Akıllı Şehir Teknolojilerinin Rolü']","['2014', '2018']",hakan_simsek.md,1990,1997,1997,2001,2001,2005,2006,2008,None,,['2008,"2015', '2015-2022', '2022-devam ediyor']"
Halit Aktaş,Kayseri,14.07.1982,43,Erciyes İlkokulu,1988-1993,Kayseri Fen Lisesi,1996-2000,Marmara Üniversitesi İletişim Fakültesi,2000-2004,"Radyo, Televizyon ve Sinema Bölümü",Galatasaray Üniversitesi İletişim Fakültesi,2005-2007,,None,"['TRT İstanbul Televizyonu', 'Hayal Perdesi Yapım', 'Anka Prodüksiyon']","['2003-2003', '2004-2006', '2007-2012']",['Doğa Vizyon Yapım'],['2012'],Muğla,"['amatör balıkçılık', 'endemik bitki türlerini araştırmak', 'kuş gözlemciliği', 'bisiklete binmek']",Elif Aktaş,['Zeynep Aktaş'],"['Belgesel Sinemada Çevre Bilincinin Oluşturulması: Türkiye Örneği', 'Görsel Hikaye Anlatıcılığında Ekolojik Perspektif']","['2010', '2015']",halit_aktas.md,1988,1993,1996,2000,2000,2004,2005,2007,None,,['2003,"2003', '2004-2006', '2007-2012']"
Halit Baran,Ankara,05.07.1986,39,Çankaya İlkokulu,1992-1997,Ankara Atatürk Anadolu Lisesi,1997-2004,Orta Doğu Teknik Üniversitesi,2004-2008,Endüstri Mühendisliği,Bilkent Üniversitesi,2010-2012,,None,"['Borusan Lojistik', 'Migros', 'Unilever']","['2008-2012', '2012-2017', '2017-devam ediyor']",['Yeşil Lojistik Geliştirme Derneği'],['2019'],İstanbul,"['uzun mesafe koşusu', 'doğa fotoğrafçılığı', 'geleneksel Türk okçuluğu']",Ayşe Baran,"['Asya', 'Can']","['The Role of Predictive Analytics in Optimizing Retail Supply Chains', 'Agile Supply Chain Practices in Fast-Moving Consumer Goods (FMCG) Sector: A Case Study from Turkey']","['2014', '2016']",halit_baran.md,1992,1997,1997,2004,2004,2008,2010,2012,None,,['2008,"2012', '2012-2017', '2017-devam ediyor']"
Haluk Bulut,Kayseri,25.07.1985,40,Kayseri Nuri Has İlkokulu,1992-1999,Kayseri Sümer Anadolu Lisesi,1999-2003,Orta Doğu Teknik Üniversitesi,2003-2007,İşletme,Boğaziçi Üniversitesi,2007-2009,,None,"['PwC Türkiye', 'Akbank', 'Garanti BBVA', 'Yıldız Holding']","['2009-2012', '2012-2017', '2017-2020', '2020-2023']",['Yatırım Pusulası Finansal Danışmanlık'],['2024'],İstanbul,"['Dağ yürüyüşleri', 'Klasik müzik dinlemek', 'Satranç oynamak', 'Bağcılık ve yerel şarap üretimi araştırmaları']",Ayşe Sarıoğlu,"['Emir', 'Defne']","[""Türkiye'de Bireysel Emeklilik Sistemlerinin Geleceği ve Makroekonomik Etkileri"", 'Gelişen Pazarlarda Yapılandırılmış Ürünler ve Risk Yönetimi Yaklaşımları']","['2010', '2015']",haluk_bulut.md,1992,1999,1999,2003,2003,2007,2007,2009,None,,['2009,"2012', '2012-2017', '2017-2020', '2020-2023']"
Haluk Erdoğan,Kayseri,15.07.1985,40,Kayseri Mehmet Akif Ersoy İlkokulu,1992-1997,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi,2004-2008,Çevre Mühendisliği,Hacettepe Üniversitesi,2009-2011,,None,"['EkoDanışmanlık Çevre Çözümleri', 'Koç Holding', 'Garanti BBVA', 'Yeşil Gelecek Danışmanlık']","['2011-2013', '2013-2017', '2017-2020', '2020-devam ediyor']","['Yeşil Gelecek Danışmanlık', 'Kent Bahçeleri']","['2020', None]",İstanbul,"['doğa yürüyüşleri', 'doğa fotoğrafçılığı', 'permakültür denemeleri', 'çevre ve sürdürülebilirlik konulu belgeseller izlemek', 'çevre ve sürdürülebilirlik konulu kitaplar okumak']",Ayşe Erdoğan,"['Defne', 'Emir']","[""Türkiye'de Atık Isı Geri Kazanım Sistemlerinin Endüstriyel Uygulamaları Üzerine Bir Araştırma"", 'Kentsel Dönüşümde Sürdürülebilirlik Kriterleri ve Yeşil Bina Entegrasyonu']","['2011', '2018']",haluk_erdogan.md,1992,1997,2002,2006,2004,2008,2009,2011,None,,['2011,"2013', '2013-2017', '2017-2020', '2020-devam ediyor']"
Hande Aslan,İzmir,05.08.1990,35,Bornova İlkokulu,1996-2004,Bornova Anadolu Lisesi,2004-2008,Ege Üniversitesi,2008-2012,Bilgisayar Mühendisliği,Orta Doğu Teknik Üniversitesi (ODTÜ),2012-2014,,None,"['Turkcell', 'ING Bank', 'Microsoft Türkiye']","['2014-2017', '2017-2021', '2021-devam ediyor']",[],[],İstanbul,"['Pilates', 'seyahat blogu yazmak', 'amatör fotoğrafçılık', 'bilim kurgu romanları okumak', 'doğa yürüyüşleri', 'yeni mutfakları denemek']",Can Emre,"['Zeynep Aslan', 'Bora Aslan']","['Finansal Verilerde Anomali Tespiti İçin Derin Öğrenme Modellerinin Kullanımı', 'Perakende Telekomünikasyon Sektöründe Müşteri Kaybı Tahmini için Gelişmiş Makine Öğrenmesi Yaklaşımları', 'Açıklanabilir Yapay Zeka (XAI) Uygulamaları: Finansal Hizmetler Sektöründe Şeffaflık ve Güven']","['2014', '2016', '2019']",hande_aslan.md,1996,2004,2004,2008,2008,2012,2012,2014,None,,['2014,"2017', '2017-2021', '2021-devam ediyor']"
Hande Aydın,İzmir,03.09.1990,35,Bornova Ata İlkokulu,1997-2004,İzmir Bornova Anadolu Lisesi,2004-2008,Boğaziçi Üniversitesi,2008-2012,İletişim Bilimleri Bölümü,Marmara Üniversitesi,2013-2015,,None,"['TRT Haber', 'Hürriyet Gazetesi', 'Artı Gerçek Prodüksiyon', 'Türk Telekom']","['2011', '2012-2015', '2015-2017', '2017-2019']",['Duyarlı Kareler'],['2020'],İstanbul,"['doğada fotoğrafçılık yapmak', 'belgesel film festivallerine katılmak', 'yoga yapmak', 'gönüllü çevre temizliği etkinliklerine katılmak']",Cem Yılmaz,['Ela'],"['Dijital Çağda Vatandaş Gazeteciliği ve Etik Sorunlar', 'Savaş Bölgelerinden İnsan Hikayeleri: Belgesel Sinemanın Rolü']","['2015', '2021']",hande_aydin.md,1997,2004,2004,2008,2008,2012,2013,2015,None,,"['2011', '2012","2015', '2015-2017', '2017-2019']"
Hande Kaplan,Ankara,15.08.1989,36,Tevfik Fikret İlkokulu,1995-2000,Ankara Atatürk Anadolu Lisesi,2000-2007,Gazi Üniversitesi,2007-2011,Halkla İlişkiler ve Tanıtım,Marmara Üniversitesi,2013-2015,,None,"['Dijital Evrim Ajans', 'Garanti BBVA', 'Fikiristan Teknoloji A.Ş.']","['2011-2013', '2015-2020', '2020-devam ediyor']",[],[],İstanbul,"['yoga', 'seyahat etmek', 'yeni kültürler keşfetmek', 'seyahat blogu yazmak', 'caz müziği dinlemek', 'vegan mutfak tarifleri denemek', 'sağlıklı beslenme öğrenmek']",Emre Kaplan,['Ada'],['Dijital Kanallarda Müşteri Deneyimi Yönetimi: Bankacılık Sektörü Örneği'],['2015'],hande_kaplan.md,1995,2000,2000,2007,2007,2011,2013,2015,None,,['2011,"2013', '2015-2020', '2020-devam ediyor']"
Harun Koç,Kayseri,15.04.1985,40,Nuh Mehmet Baldöktü İlkokulu,1991-1998,Kayseri Fen Lisesi,1998-2002,Boğaziçi Üniversitesi,2003-2007,İnşaat Mühendisliği,Orta Doğu Teknik Üniversitesi,2008-2010,,None,"['İstanbul Büyükşehir Belediyesi', 'Koç Holding', 'Miras ve Kent Danışmanlık A.Ş.']","['2010-2013', '2013-2017', '2017-devam ediyor']",['Miras ve Kent Danışmanlık A.Ş.'],['2017'],İstanbul,"['Eski haritalar ve şehir planları koleksiyonu yapmak', 'tarihi bölgelerde fotoğraf çekmek', 'doğa yürüyüşleri yapmak', ""Anadolu'daki terk edilmiş köy ve kasabaların hikayelerini belgelemek""]",Ayşe Koç,"['Defne', 'Can']","[""Türkiye'deki Kentsel Dönüşüm Projelerinde Tarihi Çevrenin Korunması ve Sürdürülebilirlik İlişkisi: İstanbul Örneği"", 'Kent Kimliğinin Korunmasında Paydaş Katılımının Önemi: Kapadokya Bölgesi Örneği', 'Dijital Teknolojilerin Kültürel Mirasın Belgelenmesindeki Rolü']","['2010', '2019', '2021']",harun_koc.md,1991,1998,1998,2002,2003,2007,2008,2010,None,,['2010,"2013', '2013-2017', '2017-devam ediyor']"
Harun Taş,Adana,15.08.1987,38,Karataş İlkokulu,1993-2001,İstanbul Fen Lisesi,2001-2005,Boğaziçi Üniversitesi,2008-2012,İşletme,Koç Üniversitesi,2012-2014,,None,"['Yaratıcı Köprü Reklam Ajansı', 'Garanti BBVA', 'Dijital Büyüme Ajansı ""Pixel & Strateji""']","['2014-2016', '2017-2020', '2020-2022']",['Anadolu Markası Danışmanlık ve Eğitim Hizmetleri'],['2022'],Antalya,"['sokak fotoğrafçılığı', 'doğa fotoğrafçılığı', 'vintage plak koleksiyonculuğu', 'doğa yürüyüşleri', 'kamp yapmak', 'eski Türk filmleri izlemek']",Selin Uzun,"['Ela Taş', 'Can Taş']","['Dijital Çağda Tüketici Sadakatinin Yeniden Tanımlanması: Bankacılık Sektörü Üzerine Bir Vaka Analizi', ""KOBİ'ler İçin Sürdürülebilir Dijital Marka Stratejileri: Bir Uygulama Rehberi""]","['2014', '2021']",harun_tas.md,1993,2001,2001,2005,2008,2012,2012,2014,None,,['2014,"2016', '2017-2020', '2020-2022']"
Hasan Aksoy,Kayseri,15.06.1988,37,Erciyes İlkokulu,1994-2000,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi,2007-2011,Şehir ve Bölge Planlama Bölümü,Boğaziçi Üniversitesi,2012-2014,,None,"['İstanbul Büyükşehir Belediyesi', 'ARGE Yazılım ve Danışmanlık A.Ş.', 'Türk Telekom', 'UrbanSense Teknoloji A.Ş.']","['2011-2012', '2014-2015', '2015-2018', '2018-devam ediyor']",['UrbanSense Teknoloji A.Ş.'],['2018'],İstanbul,"['Şehir fotoğrafçılığı', 'Bisiklet turları', 'Akıllı şehir teknolojileri üzerine podcast dinlemek']",Elif Öztürk,['Defne'],"['Büyük Veri ile Kentsel Hareketlilik Analizi: İstanbul Örneği', 'Akıllı Şehirlerde Nesnelerin İnterneti (IoT) Uygulamalarının Kentsel Yaşam Kalitesine Etkileri']","['2014', '2017']",hasan_aksoy.md,1994,2000,2002,2006,2007,2011,2012,2014,None,,['2011,"2012', '2014-2015', '2015-2018', '2018-devam ediyor']"
Hasan Bozkurt,Adana,15.06.1986,39,Adana İsmet İnönü İlkokulu,1991-1998,Adana Fen Lisesi,1998-2005,Orta Doğu Teknik Üniversitesi (ODTÜ),2004-2008,Bilgisayar Mühendisliği,Boğaziçi Üniversitesi,2009-2011,,None,"['Trendyol', 'Vestel', 'Garanti BBVA', 'Turkcell']","['2011-2014', '2014-2017', '2017-2020', '2020-devam ediyor']",[],[],İstanbul,"['street photography', 'doğa yürüyüşleri', 'bas gitar çalmak', 'yapay zeka etiği ve felsefesi üzerine kitap okumak']",Ayşe Yılmaz,"['Defne', 'Can']","['Supervised Anomaly Detection in Large-Scale Transactional Data using Ensemble Methods', 'Predictive Maintenance for IoT Devices: A Machine Learning Approach']","['2012', '2016']",hasan_bozkurt.md,1991,1998,1998,2005,2004,2008,2009,2011,None,,['2011,"2014', '2014-2017', '2017-2020', '2020-devam ediyor']"
Hasan Güler,Adana,15.08.1983,42,Adana Çukurova İlkokulu,1989-1994,Adana Fen Lisesi,1997-2001,Gaziantep Üniversitesi,2001-2005,Elektrik-Elektronik Mühendisliği,Orta Doğu Teknik Üniversitesi (ODTÜ),2005-2007,Bilkent Üniversitesi,2007-2011,"['Siemens Türkiye', 'EkoEnerji Çözümleri A.Ş.', 'Anadolu Enerji Holding']","['2011-2015', '2015-2020', '2020-devam ediyor']",['Yeşil Gelecek Platformu'],['2018'],İstanbul,"['fotoğrafçılık', 'klasik müzik dinlemek', 'sürdürülebilir yaşam pratikleri', 'doğa yürüyüşleri']",Ayşe Gürsoy,"['Elif', 'Can']","[""Türkiye'de Rüzgar Enerjisi Potansiyelinin Coğrafi Bilgi Sistemleri ile Analizi"", 'Güneş Enerjisi Sistemlerinde Yapay Zeka Destekli Verim Optimizasyonu', 'Akıllı Şebekelerde Siber Güvenlik Riskleri ve Önleyici Tedbirler', 'Yeşil Hidrojen Üretim Teknolojilerinin Geleceği ve Türkiye Potansiyeli']","['2008', '2012', '2015', '2021']",hasan_guler.md,1989,1994,1997,2001,2001,2005,2005,2007,2007,2011,['2011,"2015', '2015-2020', '2020-devam ediyor']"
Hatice Eren,İzmir,15.06.1988,37,İzmir Göztepe İlkokulu,1994-2002,İzmir Fen Lisesi,2000-2004,Marmara Üniversitesi,2004-2008,Gazetecilik Bölümü,İstanbul Bilgi Üniversitesi,2009-2011,,None,"['Ege Haber', 'NTV', 'Gerçek Hikayeler Yapım']","['2008-2010', '2010-2015', '2018-devam ediyor']","['Gerçek Hikayeler Yapım', 'Çevreci Belgeselciler Ağı']","['2018', None]",İstanbul,"['doğa yürüyüşleri', 'analog fotoğrafçılık', 'kitap okumak', 'sanat galerilerini takip etmek', 'belgesel film gösterimlerini takip etmek', 'köpeğiyle vakit geçirmek']",Can Yaman,['Defne Eren'],"['Sessiz Çığlık: Endüstriyel Atıkların Gölgesinde', 'Kayıp Kuşaklar: Göç ve Gençlik', ""Anadolu'nun Kayıp Sesleri""]","['2019', '2021', '2022']",hatice_eren.md,1994,2002,2000,2004,2004,2008,2009,2011,None,,['2008,"2010', '2010-2015', '2018-devam ediyor']"
Hatice Polat,Adana,15.08.1986,39,Adana Atatürk İlkokulu,1992-2000,Adana Fen Lisesi,2000-2004,Orta Doğu Teknik Üniversitesi (ODTÜ),2004-2008,Bilgisayar Mühendisliği,Orta Doğu Teknik Üniversitesi (ODTÜ),2008-2010,,None,"['Turkcell', 'Siemens Türkiye', 'Türk Telekom', 'Microsoft Türkiye']","['2010-2013', '2013-2015', '2015-2018', '2018-devam ediyor']",[],[],İstanbul,"['yoga', 'amatör fotoğrafçılık', 'bilimkurgu romanları okumak', 'yeni teknolojik gelişmeler hakkında araştırma yapmak']",Emre Polat,"['Deniz Polat', 'Zeynep Polat']",['Büyük Veri Analizi ile Telekomünikasyon Ağ Optimizasyonu'],['2016'],hatice_polat.md,1992,2000,2000,2004,2004,2008,2008,2010,None,,['2010,"2013', '2013-2015', '2015-2018', '2018-devam ediyor']"
Hümeyra Güler,Adana,15.08.1988,37,İsmet İnönü İlkokulu,1994-2002,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi,2006-2010,Şehir ve Bölge Planlama,Boğaziçi Üniversitesi,2010-2012,,None,"['Arçelik A.Ş.', 'Koç Holding', 'Garanti BBVA', 'Sürdürülebilir Kentler Danışmanlık']","['2012-2016', '2016-2017', '2017-2020', '2020-devam ediyor']",['Sürdürülebilir Kentler Danışmanlık'],['2020'],İstanbul,"['şehir fotoğrafçılığı', 'doğa yürüyüşleri', 'geleneksel çömlekçilik', 'bitki yetiştirme']",Fırat Demir,"['Aslı', 'Can']","['Kentsel Dirençliliğin Anahtarı: İstanbul Metropolü İçin Yeşil Altyapı Çözümleri', 'Kurumsal Sürdürülebilirlik Raporlamasında Yeni Yaklaşımlar: Türkiye Örneği']","['2014', '2018']",humeyra_guler.md,1994,2002,2002,2006,2006,2010,2010,2012,None,,['2012,"2016', '2016-2017', '2017-2020', '2020-devam ediyor']"
Hüsnü Aktaş,Diyarbakır,15.07.1985,40,Diyarbakır Gazi İlkokulu,1991-1995,Ankara Fen Lisesi,2000-2004,Orta Doğu Teknik Üniversitesi,2004-2008,Bilgisayar Mühendisliği,Orta Doğu Teknik Üniversitesi,2008-2010,Orta Doğu Teknik Üniversitesi,2010-2014,"['ODTÜ Bilgisayar Mühendisliği', 'ASELSAN', 'Fraunhofer Enstitüsü', 'Hacettepe Üniversitesi Bilgisayar Mühendisliği']","['2008-2014', '2010-2014', '2014-2016', '2016-devam ediyor']",['Yapay Zeka Derneği'],[],Ankara,"['amatör astronomi', 'koşu', 'blok zincir teknolojileri', 'Klasik Türk müziği dinlemek', 'eski Diyarbakır fotoğraflarını incelemek']",Elif Aktaş,"['Defne', 'Can']","['Derin Öğrenme Modellerinde Güvenlik Açıkları ve Korunma Yöntemleri', 'Büyük Veri Analitiğinde Yeni Yaklaşımlar: Sağlık Sektörü Uygulamaları', 'Doğal Dil İşlemede Çok Modlu Öğrenme Yöntemleri']","['2017', '2019', '2022']",husnu_aktas.md,1991,1995,2000,2004,2004,2008,2008,2010,2010,2014,['2008,"2014', '2010-2014', '2014-2016', '2016-devam ediyor']"
Hüsnü Güler,Edirne,15.03.1982,43,Fatih Sultan Mehmet İlkokulu,1988-1993,Edirne Lisesi,1996-2000,Dokuz Eylül Üniversitesi,2000-2004,Şehir ve Bölge Planlama Bölümü,Yıldız Teknik Üniversitesi,2005-2007,,None,"['T.C. Kültür ve Turizm Bakanlığı, Edirne Kültür Varlıklarını Koruma Bölge Kurulu', 'Birleşmiş Milletler Kalkınma Programı (UNDP) Türkiye', 'Serbest Danışman', 'Yıldız Teknik Üniversitesi']","['2007-2011', '2011-2016', '2016-devam ediyor', '2018-devam ediyor']",['Kentsel Bellek Vakfı'],['2018'],İstanbul,"['Eski harita koleksiyonculuğu', 'Kent fotoğrafçılığı', 'Bağcılık']",Elif Güler,"['Defne Güler', 'Emre Güler']","['Anadolu Kentlerinin Tarihi Dokusunda Dönüşüm Dinamikleri: Kentleşme ve Koruma Dengesi Üzerine Bir İnceleme', 'Sürdürülebilir Turizmde Kültürel Mirasın Rolü: UNESCO Dünya Mirası Alanları Üzerine Bir İnceleme']","['2014', '2017']",husnu_guler.md,1988,1993,1996,2000,2000,2004,2005,2007,None,,['2007,"2011', '2011-2016', '2016-devam ediyor', '2018-devam ediyor']"
Hüsnü Kurt,Adana,15.06.1987,38,Dr. Sacit Ateş İlkokulu,1993-2000,Adana Anadolu Lisesi,2000-2004,Orta Doğu Teknik Üniversitesi (ODTÜ),2007-2011,Elektrik-Elektronik Mühendisliği,Boğaziçi Üniversitesi,2012-2014,,None,"['ASELSAN', 'Siemens Türkiye', 'Solaris Enerji Çözümleri A.Ş.']","['2010-2014', '2014-2018', '2018-devam ediyor']","['Solaris Enerji Çözümleri A.Ş.', 'Ege Doğa Derneği']","['2018', '2019']",İzmir,"['Amatör Doğa Fotoğrafçılığı', 'Permakültür Bahçeciliği']",Zeynep Kurt,"['Elif Kurt', 'Can Kurt']",['Akıllı Şebekelerde Enerji Depolama Sistemlerinin Entegrasyonu ve Optimizasyonu'],['2015'],husnu_kurt.md,1993,2000,2000,2004,2007,2011,2012,2014,None,,['2010,"2014', '2014-2018', '2018-devam ediyor']"
İbrahim Can,Adana,05.07.1982,43,Çukurova İlkokulu,1988-1993,Adana Anadolu Lisesi,1993-2000,Mimar Sinan Güzel Sanatlar Üniversitesi,1999-2004,Şehir ve Bölge Planlama Bölümü,Hacettepe Üniversitesi,2006-2008,,None,"['Çevre, Şehircilik ve İklim Değişikliği Bakanlığı', 'Kent Analitik Çözümleri A.Ş.', 'İleri Kent Analizleri Danışmanlık']","['2008-2014', '2014-2020', '2020-devam ediyor']","['Herkes İçin Akıllı Şehirler', 'İleri Kent Analizleri Danışmanlık']","['2018', '2020']",Ankara,"['doğa fotoğrafçılığı', 'amatör astronomi', 'uzun yürüyüşler', 'yerel tarih kitapları okuma', 'eski şehir haritalarını inceleme']",Ayşe Can,"['Defne', 'Emre']","['Coğrafi Bilgi Sistemleri (CBS) Destekli Kentsel Dönüşüm Projelerinde Risk Analizi', 'Büyük Veri ile Akıllı Şehir Ulaşım Sistemlerinin Optimizasyonu', 'Sürdürülebilir Kent Gelişiminde Mekânsal Veri Madenciliğinin Rolü']","['2012', '2017', '2019']",i̇brahim_can.md,1988,1993,1993,2000,1999,2004,2006,2008,None,,['2008,"2014', '2014-2020', '2020-devam ediyor']"
İbrahim Sezer,Adana,15.08.1989,36,Adana Özel Bilfen İlkokulu,1996-2003,Adana Fen Lisesi,2003-2007,Boğaziçi Üniversitesi,2008-2012,Tarih Bölümü,Bilkent Üniversitesi,2012-2014,Ege Üniversitesi,2015-2019,"['İzmir Devlet Arşivleri Müdürlüğü', 'Ege Üniversitesi', 'T.C. Kültür ve Turizm Bakanlığı', 'Anadolu Ajansı']","['2014-2015', '2015-2019', '2019-2022', '2022-devam ediyor']",['Her Köyün Bir Tarihi Var'],[],Ankara,"['klasik gitar çalmak', 'eski kitap ve haritaları toplamak', 'amatör drone fotoğrafçılığı']",Elif Yılmaz,"['Defne', 'Can']","['Osmanlı Arşivlerinin Dijitalleştirilmesinde Yapay Zeka Uygulamaları: Potansiyel ve Zorluklar', ""Türkiye'de Dijital Kültür Mirası Yönetiminde Yeni Yaklaşımlar: Blok Zinciri Teknolojisinin Rolü"", 'Görsel Medyada Tarihsel Anlam Yaratımı: Anadolu Ajansı Fotoğraf Arşivinin Ontolojik Analizi']","['2017', '2020', '2023']",i̇brahim_sezer.md,1996,2003,2003,2007,2008,2012,2012,2014,2015,2019,['2014,"2015', '2015-2019', '2019-2022', '2022-devam ediyor']"
İkra Demir,Denizli,14.07.1988,37,Denizli Atatürk İlkokulu,1994-2002,Denizli Cumhuriyet Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi,2006-2010,Şehir ve Bölge Planlama Bölümü,İstanbul Bilgi Üniversitesi,2012-2014,,None,"['Ankara Büyükşehir Belediyesi, İmar ve Şehircilik Daire Başkanlığı', 'Türk Telekom', 'ŞehirX Teknoloji A.Ş.']","['2010-2012', '2015-2018', '2018-2019']",['UrbanPulse Danışmanlık'],['2019'],İstanbul,"['Şehirlerdeki mimari detayları fotoğraflamak', 'uzun mesafeli bisiklet turlarına çıkmak', 'bilim kurgu ve distopik romanlar okumak', 'bahçecilikle ilgilenmek']",Caner Demir,"['Elif Demir', 'Kerem Demir']","['Kentsel Veri Analizi ile Sürdürülebilir Ulaşım Modelleri: İstanbul Örneği', 'Akıllı Şehirlerde Dijital Katılımın Rolü ve Yönetişime Etkileri', 'Sıfır Atık Hedefinde Akıllı Atık Yönetim Sistemlerinin Katkısı']","['2014', '2018', '2021']",i̇kra_demir.md,1994,2002,2002,2006,2006,2010,2012,2014,None,,['2010,"2012', '2015-2018', '2018-2019']"
İkra Şahin,Malatya,12.07.1988,37,Malatya İsmet İnönü İlkokulu,1994-2001,Malatya Fen Lisesi,2001-2005,Boğaziçi Üniversitesi,2008-2012,İşletme Bölümü,Koç Üniversitesi,2012-2014,,None,"['EY (Ernst & Young)', 'Garanti BBVA', 'Actus Portföy Yönetimi']","['2014-2017', '2017-2020', '2020-devam ediyor']",['Kadınlar Finansta'],[],İstanbul,"['modern sanat koleksiyonculuğu', 'uzun mesafe koşuları', 'yoga']",Emre Yılmaz,"['Ada Yılmaz', 'Can Yılmaz']",['Küresel Ekonomik Krizlerin Türkiye Bankacılık Sektörüne Etkileri Üzerine Bir Analiz'],['2014'],i̇kra_sahin.md,1994,2001,2001,2005,2008,2012,2012,2014,None,,['2014,"2017', '2017-2020', '2020-devam ediyor']"
İpek Aksoy,Kayseri,15.06.1982,43,Kayseri Merkez Mimar Sinan İlkokulu,1988-1993,Kayseri Sümer Anadolu Lisesi,1993-2000,Orta Doğu Teknik Üniversitesi,2004-2008,Sosyoloji Bölümü,Boğaziçi Üniversitesi,2008-2010,Ankara Üniversitesi,2010-2015,"['Ankara Üniversitesi İletişim Fakültesi', 'Türkiye Bilimsel ve Teknolojik Araştırma Kurumu (TÜBİTAK)', 'İzmir Ekonomi Üniversitesi Sosyoloji Bölümü']","['2010-2015', '2015-2018', '2018-devam ediyor']",[],[],İzmir,"['şehir fotoğrafçılığı', 'eski haritaları toplamak', 'tarihi romanlar okumak', 'farklı şehirlerdeki eski semtleri ve sokakları keşfetmek']",Deniz Aydın,"['Cem', 'Lara']","['Kent Kimliğinin Dijital Dönüşümü: Ankara Örneği.', 'Akıllı Şehir Uygulamalarının Sosyal Adalet Üzerine Etkileri.', 'Kültürel Mirasın Dijitalleştirilmesi ve Kent Belleği: İzmir Pasajları Üzerine Bir İnceleme.', 'Pandemi Sürecinde Kentli Yaşamı ve Dijitalleşme: İzmir Örneği.']","['2016', '2017', '2019', '2021']",i̇pek_aksoy.md,1988,1993,1993,2000,2004,2008,2008,2010,2010,2015,['2010,"2015', '2015-2018', '2018-devam ediyor']"
